report_id,"report_filename_id",nest_id,param_id,days_active,report_number,"report_starttime","secs_per_rec","num_records","report_datetime"
513,"2014-09-24_AA0012_r-042-04",12,0,42,4,"2014-11-04 10:08:30","60","240","2014-11-04 14:08:32"
514,"2014-08-27_AA0027_r-058-05",5,0,58,5,"2014-10-23 14:37:05","60","240","2014-10-23 18:37:10"
515,"2014-09-24_AA0012_r-049-06",12,0,49,6,"2014-11-11 18:10:20","60","240","2014-11-11 22:10:22"
516,"2014-07-28_AA0014_r-070-01",4,0,70,1,"2014-10-04 23:39:39","60","240","2014-10-05 03:39:41"
517,"2014-06-20_AA0013_r-083-05",8,0,83,5,"2014-09-10 12:26:59","60","240","2014-09-10 16:27:02"
518,"2014-08-27_AA0027_r-060-02",5,0,60,2,"2014-10-25 02:37:35","60","240","2014-10-25 06:37:35"
519,"2014-07-22_AA0024_r-066-04",13,0,66,4,"2014-09-25 11:14:40","60","240","2014-09-25 15:14:44"
520,"2014-07-20_AA0011_r-031-01",7,0,31,1,"2014-08-18 08:58:45","360","240","2014-08-19 08:57:50"
521,"2014-06-20_AA0013_r-096-01",8,0,96,1,"2014-09-22 20:30:10","60","240","2014-09-23 00:30:13"
522,"2014-07-28_AA0014_r-041-03",4,0,41,3,"2014-09-06 07:49:22","60","240","2014-09-06 11:49:24"
523,"2014-07-23_AA0012_r-051-05",9,0,51,5,"2014-09-11 15:54:07","60","240","2014-09-11 19:54:10"
524,"2014-06-20_AA0013_r-098-02",8,0,98,2,"2014-09-25 00:30:43","60","240","2014-09-25 04:30:46"
525,"2014-07-16_AA0010_r-061-03",14,0,61,3,"2014-09-14 04:22:35","60","240","2014-09-14 08:22:37"
526,"2014-08-27_AA0027_r-072-03",5,0,72,3,"2014-11-06 05:41:14","60","240","2014-11-06 09:41:18"
527,"2014-08-21_AA0026_r-052-02",11,0,52,2,"2014-10-11 03:54:46","60","240","2014-10-11 07:54:48"
528,"2014-06-20_AA0013_r-093-04",8,0,93,4,"2014-09-20 08:29:33","60","240","2014-09-20 12:29:34"
529,"2014-09-24_AA0012_r-044-06",12,0,44,6,"2014-11-06 18:09:04","60","240","2014-11-06 22:09:07"
530,"2014-06-20_AA0013_r-060-04",8,0,60,4,"2014-08-18 10:37:18","60","240","2014-08-18 14:37:21"
531,"2014-07-23_AA0012_r-056-06",9,0,56,6,"2014-09-16 19:55:45","60","240","2014-09-16 23:55:47"
532,"2014-08-27_AA0027_r-080-04",5,0,80,4,"2014-11-14 09:50:51","60","240","2014-11-14 13:50:51"
533,"2014-07-16_AA0010_r-041-02",14,0,41,2,"2014-08-25 08:17:47","60","240","2014-08-25 12:17:52"
534,"2014-06-20_AA0013_r-066-04",8,0,66,4,"2014-08-24 10:36:31","60","240","2014-08-24 14:36:33"
535,"2014-07-22_AA0024_r-057-04",13,0,57,4,"2014-09-16 11:12:27","60","240","2014-09-16 15:12:28"
536,"2014-06-20_AA0013_r-101-02",8,0,101,2,"2014-09-28 00:31:30","60","240","2014-09-28 04:31:33"
537,"2014-06-20_AA0013_r-059-04",8,0,59,4,"2014-08-17 10:37:03","60","240","2014-08-17 14:37:06"
538,"2014-07-28_AA0014_r-069-04",4,0,69,4,"2014-10-04 11:39:31","60","240","2014-10-04 15:39:31"
539,"2014-07-13_AA0008_r-064-05",6,0,64,5,"2014-09-14 12:16:15","60","240","2014-09-14 16:16:18"
540,"2014-08-12_AA0028_r-048-01",1,0,48,1,"2014-09-26 15:33:20","360","0","2014-09-28 13:27:08"
541,"2014-08-27_AA0027_r-052-06",5,0,52,6,"2014-10-17 18:28:00","60","240","2014-10-17 22:28:06"
542,"2014-08-12_AA0028_r-065-03",1,0,65,3,"2014-10-15 05:33:07","60","240","2014-10-15 09:33:10"
543,"2014-08-06_AA0017_r-070-06",2,0,70,6,"2014-10-14 18:50:52","60","240","2014-10-14 22:50:55"
544,"2014-08-10_AA0025_r-050-03",10,0,50,3,"2014-09-28 16:43:51","60","240","2014-09-28 20:43:54"
545,"2014-07-16_AA0010_r-060-05",14,0,60,5,"2014-09-13 12:22:24","60","240","2014-09-13 16:22:25"
546,"2014-07-28_AA0014_r-086-05",4,0,86,5,"2014-10-21 12:04:32","60","240","2014-10-21 16:04:32"
547,"2014-07-13_AA0008_r-074-03",6,0,74,3,"2014-09-24 04:24:36","60","240","2014-09-24 08:24:39"
548,"2014-07-13_AA0009_r-065-06",3,0,65,6,"2014-09-15 19:08:36","60","240","2014-09-15 23:08:39"
549,"2014-07-13_AA0008_r-069-02",6,0,69,2,"2014-09-19 00:23:16","60","240","2014-09-19 04:23:18"
550,"2014-08-06_AA0017_r-053-01",2,0,53,1,"2014-09-26 22:46:28","60","240","2014-09-27 02:46:31"
551,"2014-09-24_AA0012_r-052-03",12,0,52,3,"2014-11-14 06:10:58","60","240","2014-11-14 10:11:00"
552,"2014-07-23_AA0012_r-058-03",9,0,58,3,"2014-09-18 07:56:13","60","240","2014-09-18 11:56:19"
553,"2014-08-21_AA0026_r-041-01",11,0,41,1,"2014-09-30 07:39:00","60","0","2014-09-30 11:43:30"
554,"2014-08-06_AA0017_r-074-01",2,0,74,1,"2014-10-17 22:51:39","60","240","2014-10-18 02:51:41"
555,"2014-07-20_AA0011_r-059-06",7,0,59,6,"2014-09-16 17:00:19","60","240","2014-09-16 21:00:22"
556,"2014-07-22_AA0024_r-060-01",13,0,60,1,"2014-09-18 23:13:04","60","240","2014-09-19 03:13:06"
557,"2014-07-20_AA0011_r-056-01",7,0,56,1,"2014-09-12 20:59:22","60","240","2014-09-13 00:59:24"
558,"2014-07-23_AA0012_r-057-05",9,0,57,5,"2014-09-17 15:56:00","60","240","2014-09-17 19:56:04"
559,"2014-08-27_AA0027_r-050-04",5,0,50,4,"2014-10-15 10:27:18","60","240","2014-10-15 14:27:24"
560,"2014-08-21_AA0026_r-044-05",11,0,44,5,"2014-10-03 15:52:48","60","240","2014-10-03 19:52:50"
561,"2014-07-13_AA0009_r-052-03",3,0,52,3,"2014-09-02 05:35:18","60","240","2014-09-02 09:35:19"
562,"2014-08-12_AA0028_r-051-04",1,0,51,4,"2014-10-01 09:29:19","60","240","2014-10-01 13:29:24"
563,"2014-06-20_AA0013_r-069-02",8,0,69,2,"2014-08-27 02:37:13","60","240","2014-08-27 06:37:16"
564,"2014-07-23_AA0012_r-047-05",9,0,47,5,"2014-09-07 15:52:54","60","240","2014-09-07 19:52:57"
565,"2014-08-21_AA0026_r-042-02",11,0,42,2,"2014-10-01 03:45:05","60","240","2014-10-01 07:45:07"
566,"2014-07-20_AA0011_r-055-04",7,0,55,4,"2014-09-12 08:59:14","60","240","2014-09-12 12:59:17"
567,"2014-08-06_AA0017_r-059-02",2,0,59,2,"2014-10-03 02:48:00","60","240","2014-10-03 06:48:02"
568,"2014-08-10_AA0025_r-060-04",10,0,60,4,"2014-10-08 08:46:30","60","240","2014-10-08 12:46:32"
569,"2014-08-21_AA0026_r-047-04",11,0,47,4,"2014-10-06 11:53:33","60","240","2014-10-06 15:53:37"
570,"2014-07-20_AA0011_r-057-01",7,0,57,1,"2014-09-13 20:59:37","60","240","2014-09-14 00:59:40"
571,"2014-07-13_AA0008_r-069-03",6,0,69,3,"2014-09-19 04:23:18","60","240","2014-09-19 08:23:21"
572,"2014-07-13_AA0008_r-071-03",6,0,71,3,"2014-09-21 04:23:49","60","240","2014-09-21 08:23:52"
573,"2014-07-20_AA0011_r-044-04",7,0,44,4,"2014-09-01 08:49:25","60","240","2014-09-01 12:49:28"
574,"2014-08-06_AA0017_r-061-02",2,0,61,2,"2014-10-05 02:48:29","60","240","2014-10-05 06:48:32"
575,"2014-07-22_AA0024_r-069-01",13,0,69,1,"2014-09-27 23:15:20","60","240","2014-09-28 03:15:23"
576,"2014-07-23_AA0012_r-052-05",9,0,52,5,"2014-09-12 15:54:25","60","240","2014-09-12 19:54:31"
577,"2014-08-21_AA0026_r-042-05",11,0,42,5,"2014-10-01 15:45:12","60","240","2014-10-01 19:45:15"
